year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2016,718.928,619.573,878.331,431.196,380.42,334.974,217.645,98.995,49.872,26.247,14.431,9.668,5.582,3.227,2.794,1.743,1.39,1.001,0.613,0.436,0.282,0.173,0.128,0.087,0.054,0.081
2017,813.52,618.54,532.644,752.191,364,306.744,240.351,131.342,53.005,25.503,13.219,7.246,4.865,2.805,1.622,1.404,0.877,0.7,0.503,0.308,0.219,0.142,0.087,0.064,0.044,0.068
2018,813.52,698.291,531.808,456.017,635.439,293.746,220.191,144.958,70.272,27.086,12.852,6.646,3.637,2.445,1.412,0.816,0.706,0.441,0.352,0.253,0.155,0.11,0.071,0.044,0.032,0.056
2019,813.52,698.785,600.164,455.5,385.649,515.933,214.389,137.497,81.181,37.752,14.373,6.811,3.52,1.926,1.295,0.748,0.432,0.374,0.234,0.186,0.134,0.082,0.058,0.038,0.023,0.047
2020,813.52,698.566,600.438,514.046,385.36,313.204,376.881,133.892,76.968,43.57,20.037,7.619,3.606,1.866,1.02,0.686,0.396,0.229,0.198,0.124,0.099,0.071,0.043,0.031,0.02,0.037
2021,813.52,698.74,600.253,514.384,435.141,312.923,228.542,235.482,75.035,41.4,23.126,10.62,4.04,1.912,0.987,0.54,0.363,0.21,0.121,0.105,0.066,0.052,0.038,0.023,0.016,0.03
2022,808.84,699.402,600.459,514.229,435.22,353.373,228.588,142.835,131.997,40.325,21.969,12.254,5.623,2.139,1.012,0.523,0.286,0.193,0.111,0.064,0.055,0.035,0.028,0.02,0.012,0.025
2023,808.84,697.458,600.916,514.372,435.11,353.459,257.969,142.716,80.036,70.885,21.42,11.63,6.491,2.979,1.133,0.536,0.277,0.151,0.102,0.059,0.034,0.029,0.018,0.015,0.011,0.02
2024,811.18,697.741,599.707,514.755,435.264,353.229,258.206,161.294,80,42.99,37.62,11.348,6.168,3.438,1.578,0.6,0.284,0.147,0.08,0.054,0.031,0.018,0.016,0.01,0.008,0.016
2025,813.52,697.795,599.916,514.015,435.496,353.291,258.062,161.405,90.437,42.927,22.818,19.947,6.012,3.266,1.822,0.835,0.318,0.15,0.078,0.043,0.029,0.017,0.01,0.008,0.005,0.013
2026,813.52,698.339,600.049,513.844,434.934,353.71,258.075,161.344,90.464,48.557,22.808,12.1,10.56,3.184,1.73,0.965,0.443,0.168,0.08,0.041,0.023,0.015,0.009,0.005,0.004,0.009
2027,808.84,698.883,600.065,513.996,434.867,353.197,258.444,161.355,90.36,48.623,25.801,12.086,6.406,5.598,1.687,0.916,0.511,0.235,0.089,0.042,0.022,0.012,0.008,0.005,0.003,0.007
2028,813.52,696.47,600.52,514.126,434.891,353.122,257.826,161.576,90.429,48.57,25.818,13.679,6.4,3.397,2.966,0.894,0.486,0.271,0.124,0.047,0.022,0.012,0.006,0.004,0.003,0.005
2029,813.52,698.799,598.647,514.259,435.051,353.031,257.882,161.084,90.662,48.552,25.781,13.694,7.249,3.391,1.798,1.571,0.473,0.257,0.144,0.066,0.025,0.012,0.006,0.003,0.002,0.004
2030,808.84,698.236,600.488,513.017,435.246,353.256,257.834,161.112,90.25,48.705,25.801,13.667,7.251,3.839,1.796,0.952,0.832,0.251,0.136,0.076,0.035,0.013,0.006,0.003,0.002,0.003
2031,808.84,696.511,600.035,514.326,434.035,353.357,257.981,161.18,90.315,48.484,25.87,13.673,7.237,3.842,2.032,0.952,0.505,0.441,0.133,0.072,0.04,0.019,0.007,0.003,0.002,0.003
2032,813.52,697.514,598.808,513.834,435.077,352.35,258.142,161.187,90.391,48.534,25.757,13.711,7.241,3.833,2.035,1.077,0.504,0.267,0.234,0.07,0.038,0.021,0.01,0.004,0.002,0.002
2033,813.52,698.902,599.823,513.143,434.731,353.234,257.204,161.349,90.381,48.583,25.784,13.648,7.264,3.836,2.032,1.078,0.571,0.267,0.142,0.124,0.037,0.02,0.011,0.005,0.002,0.002
2034,808.84,698.358,600.515,513.784,434.358,353.126,258.128,160.804,90.393,48.58,25.783,13.663,7.233,3.848,2.034,1.076,0.571,0.302,0.141,0.075,0.066,0.02,0.011,0.006,0.003,0.002
2035,813.52,696.371,600.092,514.577,434.801,352.635,257.89,161.331,90.072,48.598,25.798,13.665,7.236,3.83,2.04,1.076,0.57,0.303,0.16,0.075,0.04,0.035,0.011,0.006,0.003,0.003
2036,808.84,698.591,598.743,514.067,435.49,353.084,257.477,161.069,90.494,48.414,25.796,13.668,7.241,3.834,2.029,1.08,0.57,0.302,0.16,0.085,0.04,0.021,0.018,0.006,0.003,0.003
2037,808.84,697.104,600.27,512.746,434.928,353.606,257.864,160.855,90.302,48.596,25.702,13.668,7.241,3.834,2.03,1.075,0.572,0.302,0.16,0.085,0.045,0.021,0.011,0.01,0.003,0.003
2038,808.84,696.503,599.158,514.212,433.864,353.177,258.319,161.036,90.149,48.515,25.806,13.622,7.24,3.835,2.032,1.075,0.569,0.303,0.16,0.085,0.045,0.024,0.011,0.006,0.005,0.003
2039,813.52,696.276,598.916,513.568,435.077,352.376,257.78,161.491,90.284,48.45,25.767,13.666,7.216,3.839,2.032,1.077,0.57,0.302,0.161,0.085,0.045,0.024,0.013,0.006,0.003,0.005
2040,808.84,698.585,598.888,513.167,434.527,353.186,257.305,161.171,90.504,48.497,25.731,13.657,7.25,3.821,2.034,1.076,0.57,0.302,0.16,0.085,0.045,0.024,0.013,0.007,0.003,0.004
2041,808.84,697.485,600.055,512.893,434.121,352.932,257.997,160.799,90.316,48.631,25.741,13.634,7.23,3.84,2.025,1.077,0.571,0.302,0.16,0.085,0.045,0.024,0.013,0.007,0.004,0.004
2042,813.52,696.964,599.392,514.262,433.98,352.524,257.705,161.274,90.032,48.521,25.833,13.649,7.224,3.831,2.034,1.073,0.571,0.302,0.16,0.085,0.045,0.024,0.013,0.007,0.004,0.004
2043,813.52,699.838,599.328,513.594,435.098,352.397,257.388,161.122,90.402,48.376,25.753,13.697,7.231,3.825,2.029,1.078,0.568,0.302,0.16,0.085,0.045,0.024,0.013,0.007,0.004,0.004
2044,808.84,699.248,601.268,513.554,434.551,353.266,257.296,160.794,90.264,48.553,25.683,13.659,7.258,3.83,2.027,1.075,0.571,0.301,0.16,0.085,0.045,0.024,0.013,0.007,0.004,0.004
2045,813.52,697.162,601.064,515.031,434.444,353.021,258.04,160.733,90.002,48.464,25.809,13.619,7.232,3.844,2.029,1.073,0.569,0.302,0.159,0.085,0.045,0.024,0.013,0.007,0.004,0.004
2046,813.52,698.7,599.46,514.819,435.784,352.787,257.808,161.19,90.059,48.339,25.727,13.668,7.209,3.83,2.037,1.075,0.569,0.302,0.16,0.084,0.045,0.024,0.013,0.007,0.004,0.004
2047,808.84,698.961,600.414,513.559,435.549,353.865,257.645,161.046,90.394,48.38,25.692,13.634,7.241,3.819,2.03,1.08,0.569,0.301,0.16,0.085,0.045,0.024,0.013,0.007,0.004,0.004
2048,813.52,696.914,600.539,514.39,434.531,353.752,258.519,160.915,90.193,48.57,25.692,13.618,7.225,3.838,2.023,1.076,0.572,0.302,0.159,0.085,0.045,0.024,0.013,0.007,0.004,0.004
2049,811.18,697.512,599.163,514.373,435.146,352.912,258.349,161.633,90.188,48.476,25.782,13.615,7.206,3.827,2.032,1.072,0.57,0.303,0.16,0.085,0.045,0.024,0.013,0.007,0.004,0.004
2050,808.84,697.841,599.821,513.371,435.201,353.3,257.7,161.564,90.672,48.461,25.736,13.666,7.208,3.817,2.026,1.076,0.568,0.302,0.161,0.085,0.045,0.024,0.013,0.007,0.004,0.004
2051,808.84,697.934,599.829,513.928,434.344,353.455,258.08,160.998,90.561,48.749,25.722,13.635,7.242,3.818,2.022,1.074,0.57,0.301,0.16,0.085,0.045,0.024,0.013,0.007,0.004,0.004
2052,808.84,697.239,599.744,514.075,434.936,352.681,258.174,161.203,90.313,48.682,25.892,13.629,7.225,3.834,2.024,1.071,0.569,0.302,0.159,0.085,0.045,0.024,0.013,0.007,0.004,0.004
2053,813.52,697.917,599.696,513.822,435.001,353.143,257.578,161.231,90.354,48.516,25.851,13.719,7.221,3.825,2.031,1.072,0.567,0.301,0.16,0.084,0.045,0.024,0.013,0.007,0.004,0.004
2054,808.84,698.805,599.741,513.876,434.796,353.261,257.972,160.908,90.392,48.558,25.752,13.7,7.271,3.822,2.024,1.077,0.568,0.3,0.16,0.085,0.045,0.024,0.013,0.007,0.004,0.004
2055,813.52,696.687,600.283,513.931,434.699,353.207,257.929,161.262,90.29,48.518,25.783,13.653,7.257,3.853,2.026,1.072,0.57,0.301,0.159,0.085,0.045,0.024,0.013,0.007,0.004,0.004
2056,808.84,698.831,599.26,514.287,434.826,353.095,257.938,161.247,90.473,48.499,25.776,13.651,7.23,3.847,2.039,1.073,0.568,0.302,0.159,0.084,0.045,0.024,0.013,0.007,0.004,0.004
2057,808.84,697.495,600.559,513.413,435.078,353.081,257.979,161.183,90.445,48.629,25.758,13.658,7.234,3.831,2.037,1.08,0.569,0.301,0.16,0.084,0.045,0.024,0.013,0.007,0.004,0.004
2058,813.52,696.468,599.536,514.469,434.584,353.238,257.907,161.083,90.334,48.619,25.819,13.652,7.244,3.833,2.029,1.079,0.573,0.301,0.159,0.085,0.045,0.024,0.013,0.007,0.004,0.004
2059,813.52,699.16,598.687,513.704,435.32,352.964,257.991,161.19,90.35,48.59,25.796,13.689,7.23,3.836,2.031,1.075,0.572,0.303,0.16,0.084,0.045,0.024,0.013,0.007,0.004,0.004
2060,813.52,698.891,600.774,512.919,434.805,353.508,257.617,161.154,90.366,48.546,25.802,13.677,7.255,3.83,2.031,1.076,0.569,0.303,0.161,0.085,0.045,0.024,0.013,0.007,0.004,0.004
2061,813.52,699.114,600.528,514.525,434.107,353.118,258.204,160.978,90.374,48.539,25.773,13.675,7.244,3.842,2.028,1.076,0.57,0.302,0.161,0.085,0.045,0.024,0.013,0.007,0.004,0.004
2062,808.84,698.121,600.769,514.431,435.341,352.611,257.806,161.408,90.207,48.565,25.78,13.657,7.247,3.841,2.036,1.075,0.57,0.302,0.16,0.085,0.045,0.024,0.013,0.007,0.004,0.004
2063,808.84,695.773,600.182,514.465,435.26,353.383,257.433,161.106,90.486,48.445,25.792,13.661,7.235,3.84,2.033,1.079,0.569,0.302,0.16,0.085,0.045,0.024,0.013,0.007,0.004,0.004
2064,813.52,696.632,598.027,514.046,435.375,353.362,258.149,160.815,90.317,48.604,25.728,13.669,7.243,3.834,2.033,1.077,0.571,0.302,0.16,0.085,0.045,0.024,0.013,0.007,0.004,0.004
2065,808.84,698.744,598.871,512.361,434.91,353.497,258.135,161.371,90.12,48.511,25.817,13.633,7.246,3.834,2.03,1.076,0.571,0.303,0.16,0.085,0.045,0.024,0.013,0.007,0.004,0.004
2066,813.52,696.935,600.29,513.015,433.418,353.189,258.221,161.286,90.451,48.41,25.762,13.682,7.219,3.836,2.03,1.076,0.57,0.302,0.16,0.085,0.045,0.024,0.013,0.007,0.004,0.004
