year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2016,718.928,619.573,878.331,431.196,380.42,334.974,217.645,98.995,49.872,26.247,14.431,9.668,5.582,3.227,2.794,1.743,1.39,1.001,0.613,0.436,0.282,0.173,0.128,0.087,0.054,0.081
2017,808.84,618.916,533.352,755.899,363.761,302.965,230.179,124.198,49.55,26.32,16.41,10.86,7.744,4.529,2.602,2.325,1.48,1.197,0.861,0.527,0.375,0.242,0.149,0.11,0.075,0.116
2018,813.52,696.73,532.683,458.95,638.325,289.497,207.96,131.148,62.178,26.13,16.462,12.35,8.688,6.283,3.651,2.165,1.973,1.274,1.03,0.742,0.454,0.323,0.209,0.128,0.095,0.164
2019,808.84,698.794,599.716,458.333,388.106,512.134,203.192,123.492,69.21,34.332,16.863,12.556,9.963,7.085,5.097,3.051,1.84,1.698,1.097,0.887,0.638,0.391,0.278,0.18,0.111,0.223
2020,808.84,697.539,601.372,516.026,387.708,311.321,359.726,120.684,65.175,38.208,22.158,12.86,10.12,8.125,5.748,4.257,2.593,1.584,1.461,0.944,0.764,0.549,0.336,0.24,0.155,0.288
2021,808.84,698.127,600.798,517.293,436.56,310.971,218.499,213.705,63.67,36.017,24.658,16.9,10.367,8.252,6.593,4.798,3.617,2.232,1.363,1.258,0.813,0.657,0.473,0.289,0.206,0.381
2022,813.52,697.411,601.03,516.935,437.415,350.155,218.389,129.586,112.773,35.199,23.233,18.807,13.621,8.459,6.69,5.505,4.078,3.112,1.921,1.174,1.083,0.7,0.566,0.407,0.249,0.514
2023,808.84,699.181,600.361,517.022,437.169,351.016,245.746,129.605,68.367,62.332,22.711,17.726,15.154,11.111,6.863,5.589,4.678,3.507,2.679,1.654,1.01,0.932,0.602,0.487,0.35,0.654
2024,813.52,697.331,601.564,516.638,437.324,350.856,246.479,145.892,68.38,37.734,40.246,17.315,14.297,12.363,9.016,5.732,4.749,4.024,3.019,2.307,1.423,0.87,0.802,0.518,0.419,0.865
2025,813.52,698.495,600.356,517.586,436.849,350.935,246.322,146.536,77.015,37.782,24.365,30.698,13.964,11.662,10.038,7.53,4.873,4.089,3.463,2.6,1.985,1.225,0.749,0.691,0.446,1.108
2026,813.52,699.546,600.971,516.686,437.738,350.595,246.38,146.396,77.311,42.587,24.36,18.576,24.759,11.396,9.463,8.382,6.398,4.192,3.519,2.981,2.238,1.708,1.054,0.644,0.594,1.323
2027,808.84,699.813,601.649,517.255,437.156,351.384,246.117,146.374,77.254,42.759,27.499,18.575,14.975,20.186,9.25,7.9,7.124,5.508,3.609,3.028,2.566,1.926,1.47,0.907,0.555,1.649
2028,813.52,697.553,602.271,517.615,437.608,350.786,246.812,146.11,77.251,42.732,27.593,20.975,14.978,12.215,16.371,7.722,6.716,6.131,4.74,3.107,2.606,2.209,1.657,1.265,0.781,1.902
2029,813.52,698.265,600.329,518.117,437.729,351.095,246.303,146.679,77.159,42.754,27.584,21.052,16.911,12.217,9.907,13.674,6.562,5.779,5.28,4.079,2.676,2.244,1.901,1.427,1.09,2.299
2030,808.84,699.114,600.963,516.854,438.164,351.33,246.441,146.261,77.433,42.644,27.602,21.033,16.971,13.796,9.911,8.273,11.623,5.649,4.975,4.545,3.511,2.302,1.931,1.637,1.228,2.942
2031,813.52,697.224,601.382,517.126,437.129,351.634,246.609,146.457,77.201,42.833,27.518,21.036,16.955,13.84,11.194,8.276,7.031,10.005,4.861,4.282,3.914,3.022,1.981,1.663,1.408,3.622
2032,808.84,699.4,600.204,517.443,437.3,350.74,247.124,146.574,77.296,42.677,27.654,20.993,16.959,13.834,11.232,9.351,7.034,6.051,8.613,4.185,3.685,3.366,2.601,1.705,1.432,4.293
2033,813.52,697.649,601.685,516.473,437.567,350.93,246.192,146.871,77.365,42.745,27.564,21.111,16.923,13.846,11.228,9.378,7.948,6.055,5.208,7.411,3.603,3.17,2.896,2.239,1.468,4.981
2034,808.84,699.435,600.812,517.817,436.995,351.28,246.488,146.1,77.563,42.783,27.59,21.044,17.027,13.804,11.233,9.371,7.975,6.841,5.212,4.484,6.377,3.101,2.73,2.493,1.926,5.532
2035,808.84,696.899,601.911,516.934,437.9,350.671,246.661,146.459,77.132,42.962,27.61,21.056,16.962,13.896,11.208,9.381,7.964,6.864,5.886,4.487,3.86,5.49,2.669,2.349,2.145,6.454
2036,808.84,697.631,600.075,517.874,437.207,351.415,246.101,146.597,77.296,42.635,27.742,21.067,16.978,13.839,11.277,9.359,7.972,6.854,5.908,5.066,3.861,3.321,4.727,2.297,2.022,7.511
2037,808.84,696.643,600.598,516.312,437.838,350.795,246.806,146.188,77.369,42.777,27.516,21.17,16.979,13.853,11.231,9.418,7.954,6.86,5.9,5.085,4.36,3.323,2.861,4.067,1.977,8.203
2038,813.52,697.197,599.496,516.836,436.816,351.326,246.253,146.578,77.158,42.802,27.604,20.985,17.068,13.854,11.241,9.383,8.003,6.847,5.904,5.082,4.377,3.754,2.86,2.461,3.502,8.85
2039,813.52,699.611,600.186,515.835,437.217,350.522,246.789,146.246,77.349,42.693,27.637,21.057,16.926,13.928,11.24,9.387,7.974,6.887,5.893,5.082,4.374,3.769,3.23,2.462,2.118,10.593
2040,813.52,699.701,601.809,516.379,436.295,350.825,245.945,146.608,77.224,42.812,27.545,21.088,16.976,13.801,11.308,9.387,7.979,6.865,5.929,5.073,4.375,3.765,3.241,2.781,2.119,10.97
2041,813.52,699.845,601.95,517.89,436.908,350.077,246.315,146.114,77.41,42.729,27.645,21.029,17.007,13.859,11.201,9.444,7.974,6.865,5.907,5.104,4.365,3.766,3.241,2.789,2.394,11.282
2042,808.84,699.234,602.208,518.029,438.073,350.483,245.834,146.292,77.103,42.804,27.561,21.092,16.95,13.875,11.248,9.351,8.025,6.863,5.911,5.086,4.393,3.758,3.244,2.791,2.401,11.944
2043,813.52,697.05,601.498,518.115,438.058,351.508,246.027,146.021,77.208,42.634,27.626,21.033,17.003,13.825,11.256,9.395,7.945,6.907,5.907,5.089,4.378,3.781,3.234,2.791,2.401,12.507
2044,813.52,698.715,600.162,517.575,438.369,351.48,246.843,146.065,77.089,42.692,27.512,21.088,16.964,13.876,11.219,9.396,7.984,6.84,5.946,5.085,4.378,3.771,3.255,2.785,2.403,13.015
2045,808.84,698.331,601.236,516.627,437.634,351.731,246.873,146.67,77.099,42.58,27.551,20.99,17.01,13.841,11.256,9.372,7.986,6.874,5.887,5.117,4.378,3.77,3.245,2.802,2.396,13.466
2046,808.84,697.149,601.051,517.169,436.995,351.292,247.101,146.736,77.391,42.631,27.463,21.022,16.924,13.88,11.228,9.399,7.965,6.875,5.913,5.066,4.405,3.769,3.243,2.793,2.411,13.843
2047,813.52,697.063,600.334,517.131,437.423,350.688,246.878,146.806,77.469,42.797,27.523,20.959,16.951,13.813,11.26,9.381,7.992,6.856,5.92,5.089,4.362,3.792,3.245,2.79,2.402,14.209
2048,808.84,699.12,600.164,516.572,437.409,351.04,246.201,146.664,77.513,42.887,27.609,20.994,16.891,13.834,11.208,9.403,7.971,6.88,5.9,5.093,4.382,3.755,3.264,2.792,2.402,14.47
2049,813.52,698.075,601.414,516.528,436.835,351.16,246.521,146.249,77.426,42.866,27.698,21.073,16.921,13.779,11.223,9.362,7.991,6.86,5.921,5.077,4.383,3.771,3.231,2.809,2.404,14.739
2050,808.84,699.377,600.795,517.459,436.899,350.653,246.664,146.517,77.194,42.868,27.697,21.144,16.988,13.804,11.184,9.371,7.957,6.879,5.904,5.097,4.369,3.774,3.245,2.784,2.418,14.971
2051,813.52,697.42,601.903,517.013,437.629,350.48,246.093,146.571,77.349,42.669,27.662,21.139,17.051,13.861,11.212,9.34,7.967,6.85,5.921,5.078,4.386,3.762,3.248,2.792,2.396,15.173
2052,808.84,698.784,600.638,517.654,437.412,351.168,246.136,146.153,77.333,42.775,27.542,21.113,17.046,13.899,11.248,9.36,7.938,6.856,5.897,5.095,4.374,3.775,3.237,2.795,2.404,15.312
2053,813.52,697.726,601.387,516.718,437.916,351.003,246.689,146.087,77.138,42.771,27.635,21.015,17.026,13.905,11.287,9.39,7.953,6.831,5.899,5.076,4.387,3.767,3.249,2.786,2.406,15.468
2054,808.84,698.183,600.757,517.434,437.014,351.358,246.455,146.628,77.108,42.652,27.604,21.084,16.936,13.884,11.278,9.422,7.983,6.841,5.881,5.077,4.369,3.775,3.242,2.796,2.398,15.569
2055,808.84,697.417,601.177,516.965,437.628,350.7,246.799,146.314,77.358,42.637,27.54,21.075,17.013,13.819,11.269,9.423,8.008,6.871,5.885,5.062,4.37,3.759,3.251,2.79,2.407,15.634
2056,813.52,696.913,600.596,517.225,437.449,351.096,246.12,146.68,77.249,42.773,27.522,21.014,16.986,13.875,11.212,9.406,8.007,6.896,5.916,5.066,4.357,3.761,3.236,2.799,2.401,15.743
2057,808.84,698.659,600.103,516.828,437.399,351.036,246.552,146.229,77.427,42.685,27.603,20.985,16.941,13.864,11.26,9.368,7.995,6.894,5.935,5.093,4.361,3.75,3.237,2.785,2.41,15.803
2058,808.84,696.58,601.136,516.485,437.136,350.97,246.457,146.596,77.175,42.858,27.577,21.063,16.918,13.819,11.249,9.403,7.959,6.882,5.935,5.109,4.384,3.754,3.227,2.785,2.397,15.89
2059,808.84,697.197,599.665,517.307,436.765,350.714,246.538,146.354,77.378,42.673,27.674,21.049,16.998,13.804,11.215,9.396,7.989,6.855,5.924,5.107,4.395,3.773,3.23,2.778,2.397,15.927
2060,813.52,697.545,600.465,516.089,437.543,350.356,246.21,146.369,77.253,42.783,27.555,21.113,16.964,13.863,11.197,9.366,7.985,6.878,5.9,5.096,4.397,3.781,3.246,2.781,2.391,15.983
2061,813.52,698.164,600.752,516.69,436.485,351.074,245.943,146.265,77.275,42.739,27.635,21.023,17.021,13.843,11.247,9.349,7.959,6.87,5.921,5.078,4.385,3.785,3.256,2.795,2.393,16.004
