,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2016,718.928,619.573,878.331,431.196,380.42,334.974,217.645,98.995,49.872,26.247,14.431,9.668,5.582,3.227,2.794,1.743,1.39,1.001,0.613,0.436,0.282,0.173,0.128,0.087,0.054,0.081
2017,808.84,618.916,533.352,755.899,363.761,302.965,230.179,124.198,49.55,26.32,16.41,10.86,7.744,4.529,2.602,2.325,1.48,1.197,0.861,0.527,0.375,0.242,0.149,0.11,0.075,0.116
2018,813.52,696.73,532.683,458.95,638.325,289.497,207.96,131.148,62.178,26.13,16.462,12.35,8.688,6.283,3.651,2.165,1.973,1.274,1.03,0.742,0.454,0.323,0.209,0.128,0.095,0.164
2019,808.84,698.794,599.716,458.307,386.852,505.588,195.689,115.385,63.253,31.634,15.988,12.28,9.843,7.015,5.042,3.034,1.836,1.698,1.097,0.887,0.638,0.391,0.278,0.18,0.111,0.223
2020,808.84,697.539,601.372,515.996,386.423,306.283,342.124,108.588,55.63,32.17,19.358,11.928,9.777,7.95,5.63,4.187,2.573,1.58,1.461,0.944,0.764,0.549,0.336,0.24,0.155,0.288
2021,808.84,698.127,600.798,517.263,435.109,306.02,207.039,189.814,52.366,28.342,19.686,14.444,9.502,7.893,6.38,4.673,3.55,2.214,1.36,1.258,0.813,0.657,0.473,0.289,0.206,0.381
2022,813.52,697.411,601.03,516.905,435.986,344.522,206.968,114.685,91.534,26.679,17.344,14.691,11.505,7.673,6.333,5.299,3.962,3.055,1.906,1.171,1.083,0.7,0.566,0.407,0.249,0.514
2023,808.84,699.181,600.361,516.992,435.741,345.397,232.878,114.725,55.307,46.633,16.325,12.935,11.698,9.295,6.16,5.26,4.492,3.407,2.629,1.641,1.008,0.932,0.602,0.487,0.35,0.654
2024,813.52,697.331,601.564,516.608,435.885,345.203,233.604,129.159,55.312,28.14,28.555,12.177,10.305,9.45,7.459,5.116,4.46,3.864,2.933,2.264,1.412,0.867,0.802,0.518,0.419,0.865
2025,813.52,698.495,600.356,517.557,435.405,345.295,233.495,129.736,62.299,28.157,17.223,21.293,9.702,8.321,7.588,6.192,4.338,3.839,3.326,2.527,1.949,1.215,0.747,0.691,0.446,1.108
2026,813.52,699.546,600.971,516.656,436.288,344.936,233.525,129.611,62.563,31.758,17.221,12.851,16.968,7.839,6.679,6.302,5.25,3.732,3.304,2.862,2.174,1.676,1.046,0.643,0.594,1.323
2027,808.84,699.813,601.649,517.226,435.722,345.74,233.239,129.604,62.526,31.905,19.457,12.841,10.231,13.7,6.293,5.546,5.343,4.521,3.214,2.844,2.463,1.871,1.443,0.9,0.554,1.649
2028,813.52,697.553,602.271,517.586,436.173,345.174,233.926,129.35,62.508,31.879,19.527,14.513,10.234,8.265,10.992,5.225,4.703,4.6,3.891,2.766,2.447,2.12,1.61,1.242,0.775,1.901
2029,813.52,698.265,600.329,518.087,436.29,345.51,233.404,129.879,62.423,31.902,19.511,14.566,11.557,8.265,6.634,9.13,4.428,4.048,3.96,3.348,2.381,2.106,1.826,1.386,1.069,2.292
2030,808.84,699.114,600.963,516.824,436.744,345.708,233.549,129.494,62.681,31.813,19.519,14.551,11.604,9.338,6.633,5.509,7.74,3.812,3.484,3.409,2.882,2.05,1.813,1.572,1.193,2.919
2031,813.52,697.224,601.382,517.097,435.705,345.997,233.739,129.677,62.472,31.955,19.459,14.564,11.589,9.372,7.492,5.509,4.67,6.666,3.281,2.999,2.934,2.481,1.764,1.562,1.352,3.572
2032,808.84,699.4,600.204,517.414,435.84,345.156,234.265,129.783,62.545,31.841,19.566,14.525,11.603,9.366,7.526,6.224,4.67,4.02,5.736,2.825,2.582,2.524,2.135,1.519,1.345,4.202
2033,813.52,697.649,601.685,516.444,436.128,345.32,233.27,130.065,62.616,31.895,19.51,14.612,11.564,9.37,7.518,6.249,5.28,4.018,3.458,4.938,2.432,2.222,2.173,1.838,1.307,4.828
2034,808.84,699.435,600.812,517.788,435.562,345.677,233.675,129.327,62.777,31.92,19.522,14.566,11.646,9.341,7.52,6.242,5.298,4.543,3.459,2.978,4.251,2.093,1.913,1.871,1.581,5.257
2035,808.84,696.899,601.911,516.905,436.458,345.061,233.764,129.67,62.423,32.06,19.535,14.569,11.604,9.411,7.5,6.247,5.291,4.559,3.91,2.978,2.563,3.659,1.803,1.646,1.609,5.918
2036,808.84,697.631,600.075,517.844,435.764,345.758,233.24,129.79,62.553,31.804,19.632,14.577,11.603,9.374,7.551,6.232,5.298,4.553,3.925,3.366,2.563,2.206,3.148,1.551,1.416,6.564
2037,808.84,696.643,600.598,516.283,436.39,345.147,233.91,129.427,62.612,31.913,19.468,14.654,11.611,9.378,7.521,6.272,5.281,4.559,3.92,3.377,2.897,2.207,1.899,2.71,1.335,6.883
2038,813.52,697.197,599.496,516.806,435.394,345.692,233.387,129.786,62.441,31.933,19.532,14.518,11.675,9.381,7.529,6.25,5.319,4.549,3.924,3.375,2.908,2.493,1.899,1.635,2.332,7.117
2039,813.52,699.611,600.186,515.806,435.776,344.866,233.952,129.477,62.609,31.845,19.565,14.579,11.57,9.435,7.529,6.251,5.3,4.576,3.915,3.378,2.907,2.503,2.146,1.634,1.406,8.156
2040,813.52,699.701,601.809,516.349,434.871,345.17,233.09,129.806,62.486,31.934,19.505,14.594,11.609,9.34,7.577,6.25,5.3,4.562,3.94,3.37,2.908,2.502,2.153,1.847,1.407,8.235
2041,813.52,699.845,601.95,517.861,435.48,344.428,233.43,129.335,62.642,31.885,19.553,14.556,11.629,9.381,7.5,6.294,5.3,4.564,3.927,3.39,2.899,2.503,2.153,1.854,1.59,8.309
2042,808.84,699.234,602.208,517.999,436.63,344.851,232.958,129.499,62.391,31.938,19.5,14.597,11.591,9.393,7.534,6.228,5.336,4.56,3.928,3.38,2.918,2.495,2.156,1.853,1.595,8.63
2043,813.52,697.05,601.498,518.086,436.6,345.862,233.172,129.284,62.455,31.795,19.557,14.552,11.627,9.364,7.537,6.258,5.277,4.592,3.926,3.382,2.911,2.512,2.148,1.855,1.595,8.898
2044,813.52,698.715,600.162,517.546,436.939,345.836,233.945,129.307,62.365,31.844,19.465,14.595,11.594,9.394,7.517,6.259,5.304,4.541,3.952,3.379,2.91,2.506,2.163,1.849,1.596,9.163
2045,808.84,698.331,601.236,516.597,436.199,346.095,234.041,129.864,62.374,31.762,19.496,14.525,11.631,9.367,7.538,6.241,5.307,4.569,3.91,3.402,2.908,2.506,2.157,1.862,1.592,9.381
2046,808.84,697.149,601.051,517.139,435.563,345.665,234.177,129.966,62.634,31.793,19.428,14.553,11.571,9.398,7.52,6.261,5.294,4.567,3.93,3.366,2.928,2.503,2.155,1.856,1.602,9.574
2047,813.52,697.063,600.334,517.102,435.996,345.062,234.008,129.976,62.702,31.929,19.467,14.501,11.594,9.351,7.539,6.245,5.307,4.556,3.933,3.383,2.897,2.521,2.155,1.855,1.597,9.757
2048,808.84,699.12,600.164,516.543,435.986,345.413,233.36,129.847,62.717,32.001,19.542,14.526,11.548,9.369,7.506,6.264,5.298,4.57,3.921,3.385,2.91,2.494,2.169,1.855,1.597,9.882
2049,813.52,698.075,601.414,516.499,435.405,345.467,233.658,129.48,62.666,32.001,19.6,14.58,11.57,9.329,7.517,6.234,5.311,4.559,3.931,3.373,2.912,2.505,2.148,1.867,1.597,10.023
2050,808.84,699.377,600.795,517.43,435.475,345.03,233.781,129.762,62.437,31.984,19.605,14.631,11.614,9.346,7.489,6.242,5.286,4.572,3.923,3.385,2.903,2.507,2.156,1.85,1.607,10.149
2051,813.52,697.42,601.903,516.983,436.203,344.868,233.207,129.797,62.598,31.822,19.573,14.624,11.658,9.386,7.505,6.217,5.291,4.551,3.935,3.376,2.913,2.499,2.158,1.856,1.592,10.254
2052,808.84,698.784,600.638,517.624,435.97,345.53,233.258,129.362,62.582,31.919,19.489,14.609,11.656,9.414,7.533,6.233,5.273,4.554,3.918,3.385,2.907,2.507,2.151,1.858,1.598,10.315
2053,813.52,697.726,601.387,516.688,436.48,345.354,233.813,129.285,62.394,31.916,19.56,14.54,11.645,9.412,7.559,6.252,5.281,4.539,3.92,3.372,2.916,2.503,2.158,1.852,1.599,10.405
2054,808.84,698.183,600.757,517.404,435.586,345.741,233.574,129.822,62.38,31.83,19.539,14.6,11.582,9.403,7.555,6.278,5.303,4.544,3.907,3.373,2.903,2.508,2.154,1.858,1.594,10.456
2055,808.84,697.417,601.177,516.935,436.206,345.068,233.877,129.52,62.597,31.805,19.486,14.583,11.636,9.359,7.551,6.278,5.321,4.564,3.91,3.362,2.904,2.498,2.161,1.854,1.6,10.483
2056,813.52,696.913,600.596,517.196,436.014,345.458,233.252,129.887,62.492,31.914,19.464,14.54,11.613,9.395,7.508,6.267,5.32,4.583,3.93,3.365,2.893,2.499,2.15,1.859,1.595,10.537
2057,808.84,698.659,600.103,516.799,435.962,345.41,233.685,129.482,62.661,31.851,19.53,14.522,11.586,9.385,7.542,6.236,5.315,4.581,3.944,3.384,2.895,2.491,2.151,1.85,1.601,10.564
2058,808.84,696.58,601.136,516.455,435.719,345.297,233.596,129.8,62.443,31.972,19.506,14.583,11.569,9.359,7.535,6.262,5.29,4.574,3.944,3.395,2.914,2.492,2.144,1.851,1.592,10.615
2059,808.84,697.197,599.665,517.277,435.34,345.085,233.664,129.613,62.619,31.815,19.588,14.563,11.621,9.343,7.511,6.257,5.308,4.552,3.938,3.395,2.921,2.507,2.145,1.846,1.593,10.63
2060,813.52,697.545,600.465,516.06,436.125,344.712,233.324,129.598,62.526,31.936,19.495,14.613,11.597,9.387,7.497,6.237,5.304,4.568,3.919,3.388,2.921,2.514,2.158,1.847,1.588,10.658
2061,813.52,698.164,600.752,516.662,435.056,345.453,233.079,129.501,62.52,31.889,19.565,14.545,11.64,9.372,7.535,6.226,5.288,4.564,3.934,3.372,2.915,2.516,2.164,1.857,1.589,10.663
