"","min","max","V1","slmin","slmax","tmp.h","redux.by","slmin_in","slmax_in","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","X","B1","B2","B3","B4","New.B1","New.B2","New.B3","New.B4","New.B4.redux","New.B3.redux","New.B2.redux","New.B1.redux","pr.redux.B4","pr.redux.B3","pr.redux.B2","pr.redux.B1"
"2",34,36,"h_34_36",34,36,268487.076450116,0.5418,13.39,14.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58300.2455918402,86344.8503503124,95042.9246032107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,2,0,0,11,13,13,13,1,1,1,0.846153846153846,0.4582,0.4582,0.4582,0.541553846153846
"70",37,38,"h_37_38",37,38,254642.191120508,0.5138,14.57,14.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92801.7405387814,132686.397617241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,23,6,1,0,30,37,38,38,1,1,0.973684210526316,0.789473684210526,0.4862,0.4862,0.499721052631579,0.594368421052632
"91",38,39,"h_38_39",38,39,272116.994983866,0.5491,14.96,15.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132686.397617241,110724.616296071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,44,15,1,1,61,78,80,81,1,0.987654320987654,0.962962962962963,0.753086419753086,0.4509,0.457679012345679,0.471237037037037,0.58648024691358
"169",42,47,"h_42_47",42,47,248174.90639671,0.5008,16.54,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34007.8009213817,35118.5030757928,32634.4895550912,43535.4491742888,36767.3106254826,36791.4722667561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,120,57,16,17,210,300,333,350,1,0.951428571428571,0.857142857142857,0.6,0.4992,0.523524571428572,0.570742857142857,0.69952
"170",42,48,"h_42_48",42,48,269203.837010233,0.5432,16.54,18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34007.8009213817,35118.5030757928,32634.4895550912,43535.4491742888,36767.3106254826,36791.4722667561,21568.1339625873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,126,68,18,25,237,348,391,416,1,0.939903846153846,0.836538461538462,0.569711538461538,0.4568,0.489444230769231,0.545592307692307,0.690532692307693
"186",43,49,"h_43_49",43,49,253005.164934713,0.5105,16.93,19.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35118.5030757928,32634.4895550912,43535.4491742888,36767.3106254826,36791.4722667561,21568.1339625873,17393.7782798226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,114,55,18,18,205,296,332,350,1,0.948571428571429,0.845714285714286,0.585714285714286,0.4895,0.515754285714286,0.568262857142857,0.700992857142857
"202",44,51,"h_44_51",44,51,270893.658091694,0.5466,17.32,20.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32634.4895550912,43535.4491742888,36767.3106254826,36791.4722667561,21568.1339625873,17393.7782798226,24407.8429197621,29057.8326247297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,103,58,22,15,198,293,330,345,1,0.956521739130435,0.849275362318841,0.573913043478261,0.4534,0.477165217391304,0.535786086956522,0.686299130434783
"216",45,52,"h_45_52",45,52,256130.931877776,0.5168,17.72,20.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43535.4491742888,36767.3106254826,36791.4722667561,21568.1339625873,17393.7782798226,24407.8429197621,29057.8326247297,17493.23189979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,87,52,20,14,173,259,293,307,1,0.954397394136808,0.843648208469055,0.563517915309446,0.4832,0.506767426710098,0.564002605863192,0.708773941368078
"217",45,53,"h_45_53",45,53,265232.843524018,0.5352,17.72,20.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43535.4491742888,36767.3106254826,36791.4722667561,21568.1339625873,17393.7782798226,24407.8429197621,29057.8326247297,17493.23189979,9335.29399614644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,87,51,22,14,174,261,297,311,1,0.954983922829582,0.839228295819936,0.559485530546624,0.4648,0.488892604501608,0.55084501607717,0.700563344051447
"218",45,54,"h_45_54",45,54,272515.368082627,0.5499,17.72,21.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43535.4491742888,36767.3106254826,36791.4722667561,21568.1339625873,17393.7782798226,24407.8429197621,29057.8326247297,17493.23189979,9335.29399614644,7469.25595754781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,85,52,22,15,174,263,300,315,1,0.952380952380952,0.834920634920635,0.552380952380952,0.4501,0.476285714285714,0.540877142857143,0.696245714285714
