,h_36_39,h_40_55,h_41_58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.78E-07,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.001780391,1.14E-05,3.49E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.066067286,0.00155355,0.000641828,,,,LTP,10% harvest redux,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.636116943,0.066423406,0.036228789,,,,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,0.191183626,0.113330744,,,F,,age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
7,0.600174958,0.485807425,0.326715298,,,0.6,2.5536,SQ,0.0007,0.0026,0.0095,0.0348,0.1189,0.3357,0.6544,0.8764,0.9637,0.9901,0.9973,0.9993,0.9998,0.9999,1,1,1,1,1,1,1,1,1,1,1,1
8,0.248693568,0.8030393,0.571231153,,,0.6,2.9987,h_36_39,0,4.78E-07,0.001780391,0.066067286,0.636116943,1,0.600174958,0.248693568,0.093689864,0.009976918,0.000864316,6.27E-05,0.000967665,0.000231527,0.000189046,0,0,0,0,0,0,0,0,0,0,0
9,0.093689864,1,0.733801753,,,0.6,2.9384,h_40_55,0,0,1.14E-05,0.00155355,0.066423406,0.191183626,0.485807425,0.8030393,1,0.985999514,0.844686002,0.526610487,0.759812105,0.917475408,0.608524538,0,0,0,0,0,0,0,0,0,0,0
10,0.009976918,0.985999514,0.786513688,,,0.6,3.3672,h_41_58,0,0,3.49E-06,0.000641828,0.036228789,0.113330744,0.326715298,0.571231153,0.733801753,0.786513688,0.797071926,0.626386119,0.702840183,1,0.648134247,0.08231811,0.282671199,0,0,0,0,0,0,0,0,0
11,0.000864316,0.844686002,0.797071926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6.27E-05,0.526610487,0.626386119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.000967665,0.759812105,0.702840183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.000231527,0.917475408,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.000189046,0.608524538,0.648134247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0.08231811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0.282671199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
