"","h_38_42","h_39_45","h_40_48","h_41_50","h_42_52","h_43_54","h_43_55","h_44_57","h_44_58"
"pr.redux",0.42009446366782,0.444277092511013,0.442138461538461,0.43417249070632,0.431807089552239,0.437137639198218,0.425692341356674,0.441735162094763,0.433822541966427
"1",0,0,0,0,0,0,0,0,0
"2",0.0000000512584842081965,0,0,0,0,0,0,0,0
"3",0.000511226492250448,0.000142455092284183,0.0000182711651883026,0.00000618749407837481,0.00000205276974867137,0.000000684424164067461,0.000000643531917796357,0.000000185475134076408,0.000000175363512035812
"4",0.0321059566177407,0.0122080726832047,0.00250566468997317,0.00113493641383039,0.000508144805273766,0.000234555052959007,0.00022054110737776,0.0000839346318285774,0.0000793587339466677
"5",0.524504848809128,0.297363874804985,0.106326301439932,0.0635508376173624,0.0380007050024491,0.0240765575662417,0.0226386643148808,0.0115292556063925,0.0109007105689039
"6",1,0.681039297815751,0.302538184405115,0.19759617026929,0.12967288985137,0.090917411789293,0.0854937047260567,0.0478091477420443,0.0452028117461772
"7",0.913050233237636,1,0.714112217472492,0.552115030202412,0.429601064727043,0.358311685607543,0.337288084712874,0.221893954221142,0.209806227770736
"8",0.542759584048678,0.941991478948383,1,0.890270909701668,0.791046812015855,0.731124757607808,0.691554571715097,0.499606443166467,0.472546754509038
"9",0.272760823735118,0.68767013339749,0.990915103245472,1,1,0.988747179883251,0.945367684136552,0.720710173445217,0.682442491863167
"10",0.0477828770572176,0.224468873827081,0.537459209993579,0.697427203634121,0.892744734234049,1,1,0.833044215645489,0.795036287229623
"11",0.00670158548386382,0.0553812317346351,0.213085163469156,0.364795396973155,0.615759880917934,0.804769520644739,0.874401395220704,0.827314567739214,0.807911719094309
"12",0.00075288461604999,0.0101030598722846,0.059244881887865,0.132826783036868,0.29201328973052,0.452595818418992,0.547119778638072,0.611208999972578,0.620940707343834
"13",0.00717180518874771,0.056294801955542,0.207290452333837,0.345413634272108,0.567607267582384,0.730048736784348,0.785775810991159,0.732797316853934,0.713451273029158
"14",0.00238838907168092,0.0271659014972787,0.137770118649988,0.280924676458806,0.563243505517478,0.820433647294442,0.952976533617682,1,1
"15",0.00186973009922028,0.0203010530358963,0.0988658962014662,0.196392257358972,0.383824081162906,0.549815446470126,0.631919810339723,0.652238161257731,0.64963334120086
"16",0,0,0,0,0,0,0,0.0000160792673926239,0.0888855928042793
"17",0,0,0,0,0,0,0,0.000321749422009547,0.305144435661131
"18",0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0
