"","h_34_37","h_36_38","h_38_41","h_38_42","h_39_45","h_40_48","h_40_49","h_41_49","h_41_50","h_42_51","h_42_52","h_42_53","h_43_53","h_43_54","h_43_55","h_43_56","h_44_56","h_44_57","h_44_58"
"pr.redux.catch",0.415982142857143,0.413384444444444,0.463825396825397,0.419225951557093,0.441675550660793,0.43948,0.416475409836066,0.463593625498008,0.431579182156134,0.45055,0.429215111940298,0.415633333333334,0.452200449438202,0.437542984409799,0.426092778993435,0.41069188034188,0.450736868686868,0.44214289276808,0.434230215827338
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.0117869566685805,0.00331029111089475,0.000697147504792889,0.000572601040225223,0.000124366508099369,0.0000099382832609495,0.00000874592221376783,0.00000891559605217407,0.00000761191416805584,0,0,0,0,0,0,0,0,0,0
"3",0.134080853794454,0.0625385389283744,0.0228025329692674,0.0191344180941929,0.00547212635637223,0.0010633963089216,0.000935813676873158,0.000543851359182618,0.000464326764251406,0.000213773707170104,0.000191996160076798,0.000178043854426894,0.0000847553395863939,0.0000784999188834171,0.0000700895276900361,0.0000591207561150569,0.0000276380520700901,0.0000254412235047829,0.0000241084190043223
"4",0.510655543922456,0.370103527731801,0.233834892232615,0.204561721620461,0.0851444206075304,0.0282545393108794,0.0249433701536659,0.0189188948227134,0.0161981533496228,0.00998055995350422,0.00896982060358793,0.00831798632400643,0.0054864956492259,0.00508156141571987,0.004537128759135,0.00382708361251468,0.00247952810000237,0.00228607565492978,0.00216631365053125
"5",0.893917389982776,0.750559828643754,0.561697554174171,0.501717803120676,0.238845878804838,0.0934596157859691,0.0827276782200299,0.0668848015834099,0.0574014447413091,0.0380249981628822,0.0341873162536749,0.0317140615697904,0.0226466267374845,0.0209804116535746,0.018732594433957,0.0158010074176842,0.011027582775966,0.0101510481784084,0.0096192591827246
"6",1,1,0.959855922849009,0.903564441475402,0.583543201815751,0.33064668409179,0.297938586134215,0.268805220973048,0.2350711333379,0.18026467857119,0.163142737145257,0.151643289137656,0.126720533393604,0.117561478519806,0.105064202007364,0.0886653686376213,0.0720721432124892,0.0663507109004739,0.0628782008231303
"7",0.697727042453308,0.819491772952974,1,1,0.876348599322202,0.67960962423351,0.62976762084678,0.600920089512584,0.543011121006599,0.459620150844072,0.422205555888882,0.394762172357579,0.358588541078088,0.33420555465426,0.299679457226698,0.253427033162803,0.223880066647188,0.206244730032274,0.195495169706049
"8",0.324664797865514,0.479927303410898,0.787311915412769,0.84666221310302,1,0.994166227725823,0.948477772238694,0.930716903078555,0.87212745389083,0.79206498720698,0.741795164096718,0.69963445371138,0.663142727991863,0.622687523222893,0.561851671868867,0.477258215814408,0.440665050498669,0.406579827290437,0.385631382273424
"9",0.0981458340369482,0.17596469022815,0.386858769534654,0.456267595552799,0.757469763392718,1,1,1,1,1,0.977332453350933,0.942758900801754,0.924607300259916,0.888022482376768,0.819444704035288,0.709535783822984,0.68156620892788,0.633726339662141,0.603426839558472
"10",0.0239454220000675,0.0492973744847954,0.138325684075989,0.179271842343847,0.415632870068091,0.735582035559177,0.781308215044735,0.789155068962136,0.861158685574661,0.962369147109713,1,1,1,1,0.965548660822758,0.873520995751188,0.859511833034579,0.81531852411828,0.785686487231148
"11",0.00199263737377149,0.00516015967286535,0.0228025329692674,0.0356444147540201,0.146161738643783,0.400184852068654,0.465606660894358,0.47336465679413,0.586969925327122,0.755583167992732,0.852036959260815,0.896094719330555,0.906011978754662,0.961869972734362,0.996719810104106,0.968835478759883,0.96568933250156,0.948837699531881,0.936401990666598
"12",0.000303961633287176,0.000941161198195567,0.00621623191773659,0.0114758791811805,0.073500606286727,0.277735264010495,0.345595116277036,0.351952069755624,0.47680269157285,0.66728794650313,0.786992260154797,0.848940917259683,0.860633969940106,0.938785763254711,1,0.994943204660292,0.994575045207957,0.986396214345942,0.978619276403024
