"","h_38_41","h_39_44","h_40_47","h_41_48","h_42_49","h_42_50","h_43_51","h_44_52","h_44_53","h_45_55","h_45_56","h_45_57","h_45_58"
"pr.redux.catch",0.42282380952381,0.433145833333333,0.410702192982456,0.420294291754757,0.452656179775281,0.40733866943867,0.415519424460431,0.440682926829268,0.422006702412869,0.450258024691358,0.431197910447761,0.422388823529412,0.411480617977528
"1",0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.000697147504792889,0.000160998188770376,0.0000114500320600898,0.0000101579562192087,0,0,0,0,0,0,0,0,0
"3",0.0228025329692674,0.00704367075870396,0.00122515343042961,0.00061963532937173,0.000294895542469566,0.000250540227365256,0.000104249921812559,0.0000437549224287732,0.0000404523731095739,0.0000141345419937243,0.0000118938592004948,0.0000109403205513922,0.0000103653438184545
"4",0.233834892232615,0.106822298249145,0.0322776403773931,0.0214739194474072,0.0136942117534305,0.0116736087187999,0.00674149494387879,0.00392544161218137,0.0036291557589732,0.00175268320722181,0.00147483854086135,0.00135659974837263,0.00128530263348835
"5",0.561697554174171,0.294485812034615,0.106061646972612,0.0756361420082279,0.0518739690175371,0.0443847671541762,0.0277999791500156,0.0174394619394682,0.0161347179602758,0.00844303308425129,0.00710459856242888,0.00653501814269825,0.00619156537422346
"6",0.959855922849009,0.675830146910847,0.362931666208665,0.298176646858652,0.236939352888594,0.207032351006859,0.153977134517149,0.113262742058482,0.105089486428229,0.065565428794889,0.0552112944086968,0.0507959083201138,0.048126291349084
"7",1,0.942523646608976,0.713359897407713,0.647843973792473,0.565987485370416,0.5116736087188,0.426125030406227,0.345570126639247,0.322850389787509,0.224089028768504,0.189215441400938,0.174206370913334,0.165102651454949
"8",0.787311915412769,1,1,0.974940322007212,0.907015749265065,0.850310043531365,0.765764325676756,0.661149379305172,0.623446195454309,0.463269036872309,0.393183232830223,0.362605984355342,0.343897922094076
"9",0.386858769534654,0.690561481183337,0.945348996977191,1,1,1,1,0.935655261216887,0.902885409984802,0.740013946081434,0.641142444822405,0.59609795233667,0.567678784905295
"10",0.138325684075989,0.342885892533709,0.645300906842539,0.74351160546498,0.801489222489471,0.87368074911528,0.982075963443027,1,1,0.924318950651602,0.837216678362295,0.794307386539759,0.765681037640018
"11",0.0228025329692674,0.10179110485007,0.313433177612897,0.40757783533953,0.486282749532314,0.601179104945038,0.781144664141502,0.875554749909365,0.919540229885057,0.987717083007454,0.959989057649536,0.943139507320898,0.930963355054487
"12",0.00621623191773659,0.0447776212517609,0.199791609416506,0.283478084209457,0.36282288758029,0.489594751182237,0.692365430725927,0.814879173907065,0.877117248314003,1,0.993807263976276,0.985252447896723,0.97751065902856
"13",0.00429907627955615,0.0331656268866975,0.160208848584776,0.233064147493524,0.305244532913107,0.425988850959882,0.624290231782326,0.752347139053143,0.822379408586305,0.980343563600728,0.997212872327351,1,1
"14",0.00482193690815082,0.0372710807003421,0.178059448566456,0.257402610594748,0.334798595559979,0.461714321505747,0.666997949751538,0.795108199672463,0.86204007096502,0.999792693384092,1,0.993629086665573,0.986715084339348
"15",0.0015976296984837,0.015516200442745,0.0882568471191719,0.133292701508456,0.179913927363542,0.26071842410197,0.395260103554922,0.485410858721606,0.536022838254076,0.653628336929789,0.670100027355876,0.673752347610452,0.687398506008444
"16",0.000871434380991111,0.00833165626886697,0.0464069799395438,0.0696734217075524,0.0935556108484698,0.134571419623563,0.202474198144351,0.2474153342251,0.272290702310986,0.328712908606052,0.335157058410743,0.336327334390898,0.621440368177012
"17",0,0,0,0,0,0,0,0,0,0,0,0.000288095107853327,0.285741433043334
"18",0,0,0,0,0,0,0,0,0,0,0,0.000288095107853327,0.272784753270266
"19",0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0
