"","h_35_37","h_39_44","h_40_46","h_41_47","h_42_48","h_42_49","h_43_50","h_44_51","h_44_52","h_45_53","h_45_54","h_45_55","h_46_57","h_46_58"
"pr.redux.catch",0.461,0.4085,0.4502,0.4393,0.4518,0.4145,0.4377,0.4474,0.412,0.4649,0.4445,0.4217,0.462,0.4522
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.00754074434444174,0.000160998188770376,0.000014107157971955,0.0000120076849183477,0,0,0,0,0,0,0,0,0,0
"3",0.105448795913403,0.00704367075870396,0.00149535874502723,0.000732468780019212,0.000337566985948774,0.000294895542469566,0.000123033514329303,0.0000509572686903982,0.0000437549224287732,0.0000180154212005477,0.0000166088126359847,0.0000141345419937243,0.00000367279779044485,0.00000347846655280486
"4",0.464647693180897,0.106822298249145,0.0389498631605677,0.0250840537944284,0.0155808261951981,0.0136942117534305,0.00793156055709575,0.0045643153526971,0.00392544161218137,0.00223391222886791,0.0020594927668621,0.00175268320722181,0.00074190515366986,0.000702650243666582
"5",0.852185194194438,0.294485812034615,0.126371921112773,0.0877161383285303,0.0587999493649521,0.0518739690175371,0.0326202857658426,0.0202664337191527,0.0174394619394682,0.010755206456727,0.00991546114368284,0.00844303308425129,0.00389683845566199,0.00369065301252596
"6",1,0.675830146910847,0.409700081821516,0.3335734870317,0.262827545466053,0.236939352888594,0.177283091914237,0.130399650578729,0.113262742058482,0.0832132305253297,0.0769209475881236,0.065565428794889,0.0366288123641065,0.0346942253976757
"7",0.723830373793886,0.942523646608976,0.755607595293852,0.69280739673391,0.609656525591797,0.565987485370416,0.474622287111009,0.391038800320303,0.345570126639247,0.28158103336456,0.261799177310147,0.224089028768504,0.140418405124287,0.133040910245128
"8",0.353766318008595,1,1,1,0.949491539727415,0.907015749265065,0.822044324874096,0.733071267380068,0.661149379305172,0.573166630635824,0.537394741649919,0.463269036872309,0.311438561438561,0.295311374933474
"9",0.110232708992135,0.690561481183337,0.874432186891629,0.96526176753122,1,1,1,0.993564824925384,0.935655261216887,0.872733059498931,0.838080685611786,0.740013946081434,0.547419492272433,0.521383873133368
"10",0.0273250628395362,0.342885892533709,0.545396834353751,0.666894812680115,0.75586522638086,0.801489222489471,0.892722977739136,1,1,1,1,0.924318950651602,0.764356966562849,0.737121847204878
"11",0.00231087326684505,0.10179110485007,0.230073639364614,0.326981268011527,0.419827840837166,0.486282749532314,0.623993175741072,0.809259663682027,0.875554749909365,0.940855372198602,0.997226328289791,0.987717083007454,0.933915349356526,0.922148440081674
"12",0.000364874726343955,0.0447776212517609,0.13161978387834,0.209053794428434,0.293271868011308,0.36282288758029,0.510728522449515,0.721300138312587,0.814879173907065,0.904067882107084,0.983346897196986,1,0.983090438972792,0.975410719938222
"13",0.000243249817562637,0.0331656268866975,0.102700110035832,0.167687319884726,0.241254905270265,0.305244532913107,0.444700536426123,0.651030064788527,0.752347139053143,0.84900074463741,0.941730749002087,0.980343563600728,1,1
"14",0.000243249817562637,0.0372710807003421,0.114775837259826,0.186359269932757,0.266435292628381,0.334798595559979,0.481938680096458,0.695406566208051,0.795108199672463,0.889517426917441,0.975258405443261,0.999792693384092,0.99273153317271,0.985818291864215
"15",0.0000810832725208789,0.015516200442745,0.0539598792427278,0.0924351585014409,0.138117642094603,0.179913927363542,0.272461818599386,0.412681080294096,0.485410858721606,0.55426244865605,0.621424261046244,0.653628336929789,0.674836193218546,0.688517234062536
"16",0.0000405416362604395,0.00833165626886697,0.0285528877352369,0.0485951008645533,0.0721865901514832,0.0935556108484698,0.140619104644105,0.211370750527772,0.2474153342251,0.281484951118157,0.314205517447558,0.328712908606052,0.336751483810307,0.623769057648626
"17",0,0,0,0,0,0,0,0,0,0,0,0,0.000290151025445143,0.287672662383515
"18",0,0,0,0,0,0,0,0,0,0,0,0,0.000290151025445143,0.274628412810497
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0
