"","bag","pr.redux.B1","min","max","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"h_35_40",1,0.51689524262607,35,40,0.000289301877097993,0.045231628012195,0.344975005585288,0.787775238382501,1,0.813386421312416,0.423512157477447,0.195164644665378,0.105696011121642,0.0694534078680163,0.0646560365031163,0.0717262290341122,0.0717985670376956,0.0582264574593578,0.052708313194877,0.0327961496207419,0.0491942144036657,0,0,0,0,0,0,0,0,0
"h_35_45",1,0.332828639391056,35,45,0.000206552180825477,0.0331876683816228,0.281902639759924,0.689379583858675,1,0.985596888980941,0.723233981001724,0.430822788738664,0.219839633720146,0.0876388925779031,0.0602498772363689,0.0617211793985624,0.0629324281339663,0.0465986473699445,0.0398000443731731,0.023415389816321,0.0351230775652086,0,0,0,0,0,0,0,0,0
"h_35_50",1,0.177726831588963,35,50,0.000151430081312983,0.0243469611203804,0.209747558165664,0.522576377058477,0.826386049491031,0.98427949902178,1,0.876491587088237,0.633503921499015,0.34186428123445,0.234216477948461,0.212404804167749,0.22843772842974,0.137063449555733,0.0717661854460717,0.0171665792619089,0.0257498636441689,0,0,0,0,0,0,0,0,0
"h_35_55",1,0.0831240723120837,35,55,0.000116837125111312,0.018785187257178,0.16191207075518,0.403902568131927,0.647879721851265,0.815732460891151,0.929202080148721,1,0.950736339546771,0.741291139041816,0.646811361332597,0.651354471154011,0.682504598869773,0.447765017284127,0.191688533080271,0.0132450154656619,0.0198675191488196,0,0,0,0,0,0,0,0,0
"h_35_58",1,0.0454698382492863,35,58,0.000101884643064875,0.0163811125682955,0.14119133648511,0.352217128629646,0.565203967963126,0.714316986414208,0.824553429838042,0.935172812048214,1,0.935514002532923,0.896114581409746,0.974520356792526,0.987932219403986,0.691134425025171,0.282953080064824,0.0116501351349652,0.0174752027024479,0,0,0,0,0,0,0,0,0
"h_40_45",1,0.78318449096099,40,45,0.000448459385997475,0.0137818891420991,0.109942310611007,0.334256446264687,0.696329500039946,0.961628216477302,1,0.72827164089285,0.417099117067725,0.184448630453288,0.130065752742991,0.13363519270615,0.136198988913761,0.101201015194597,0.0865344887149982,0.0509747796378679,0.076462153871225,0,0,0,0,0,0,0,0,0
"h_45_50",1,0.812196003805899,45,50,0.000255023418034539,0.00675789900338791,0.0236400699416835,0.0619331647204358,0.199347376159648,0.48755234188588,0.840915799782917,1,0.856039962969047,0.526562824080443,0.377435775426736,0.345240535723247,0.370836754222462,0.225084906029445,0.118438746173918,0.0289876027633853,0.0434813952820969,0,0,0,0,0,0,0,0,0
"h_50_55",1,0.872648334919125,50,55,0.000217788297845865,0.00574826682174287,0.0159020577247528,0.0294471365266655,0.0549677257936489,0.144202662312455,0.335334759399865,0.650584266647597,0.913317986779325,0.941846951941736,0.919421448194844,0.964881042811606,1,0.683061350510881,0.294511177821277,0.0247552193956351,0.037132821524526,0,0,0,0,0,0,0,0,0
"h_35_40",2,0.237461941008563,35,40,0.000289301877097993,0.045231628012195,0.344975005585288,0.787775238382501,1,0.813386421312416,0.423512157477447,0.195164644665378,0.105696011121642,0.0694534078680163,0.0646560365031163,0.0717262290341122,0.0717985670376956,0.0582264574593578,0.052708313194877,0.0327961496207419,0.0491942144036657,0,0,0,0,0,0,0,0,0
"h_35_45",2,-0.0530708848715509,35,45,0.000206552180825477,0.0331876683816228,0.281902639759924,0.689379583858675,1,0.985596888980941,0.723233981001724,0.430822788738664,0.219839633720146,0.0876388925779031,0.0602498772363689,0.0617211793985624,0.0629324281339663,0.0465986473699445,0.0398000443731731,0.023415389816321,0.0351230775652086,0,0,0,0,0,0,0,0,0
"h_35_50",2,-0.297885347288297,35,50,0.000151430081312983,0.0243469611203804,0.209747558165664,0.522576377058477,0.826386049491031,0.98427949902178,1,0.876491587088237,0.633503921499015,0.34186428123445,0.234216477948461,0.212404804167749,0.22843772842974,0.137063449555733,0.0717661854460717,0.0171665792619089,0.0257498636441689,0,0,0,0,0,0,0,0,0
"h_35_55",2,-0.44720742150333,35,55,0.000116837125111312,0.018785187257178,0.16191207075518,0.403902568131927,0.647879721851265,0.815732460891151,0.929202080148721,1,0.950736339546771,0.741291139041816,0.646811361332597,0.651354471154011,0.682504598869773,0.447765017284127,0.191688533080271,0.0132450154656619,0.0198675191488196,0,0,0,0,0,0,0,0,0
"h_35_58",2,-0.506641294005709,35,58,0.000101884643064875,0.0163811125682955,0.14119133648511,0.352217128629646,0.565203967963126,0.714316986414208,0.824553429838042,0.935172812048214,1,0.935514002532923,0.896114581409746,0.974520356792526,0.987932219403986,0.691134425025171,0.282953080064824,0.0116501351349652,0.0174752027024479,0,0,0,0,0,0,0,0,0
"h_40_45",2,0.657775927687916,40,45,0.000448459385997475,0.0137818891420991,0.109942310611007,0.334256446264687,0.696329500039946,0.961628216477302,1,0.72827164089285,0.417099117067725,0.184448630453288,0.130065752742991,0.13363519270615,0.136198988913761,0.101201015194597,0.0865344887149982,0.0509747796378679,0.076462153871225,0,0,0,0,0,0,0,0,0
"h_45_50",2,0.703568030447193,45,50,0.000255023418034539,0.00675789900338791,0.0236400699416835,0.0619331647204358,0.199347376159648,0.48755234188588,0.840915799782917,1,0.856039962969047,0.526562824080443,0.377435775426736,0.345240535723247,0.370836754222462,0.225084906029445,0.118438746173918,0.0289876027633853,0.0434813952820969,0,0,0,0,0,0,0,0,0
"h_50_55",2,0.798986679352997,50,55,0.000217788297845865,0.00574826682174287,0.0159020577247528,0.0294471365266655,0.0549677257936489,0.144202662312455,0.335334759399865,0.650584266647597,0.913317986779325,0.941846951941736,0.919421448194844,0.964881042811606,1,0.683061350510881,0.294511177821277,0.0247552193956351,0.037132821524526,0,0,0,0,0,0,0,0,0
"h_35_40",3,0.0692116079923881,35,40,0.000289301877097993,0.045231628012195,0.344975005585288,0.787775238382501,1,0.813386421312416,0.423512157477447,0.195164644665378,0.105696011121642,0.0694534078680163,0.0646560365031163,0.0717262290341122,0.0717985670376956,0.0582264574593578,0.052708313194877,0.0327961496207419,0.0491942144036657,0,0,0,0,0,0,0,0,0
"h_35_45",3,-0.285425880114177,35,45,0.000206552180825477,0.0331876683816228,0.281902639759924,0.689379583858675,1,0.985596888980941,0.723233981001724,0.430822788738664,0.219839633720146,0.0876388925779031,0.0602498772363689,0.0617211793985624,0.0629324281339663,0.0465986473699445,0.0398000443731731,0.023415389816321,0.0351230775652086,0,0,0,0,0,0,0,0,0
"h_35_50",3,-0.58425746907707,35,50,0.000151430081312983,0.0243469611203804,0.209747558165664,0.522576377058477,0.826386049491031,0.98427949902178,1,0.876491587088237,0.633503921499015,0.34186428123445,0.234216477948461,0.212404804167749,0.22843772842974,0.137063449555733,0.0717661854460717,0.0171665792619089,0.0257498636441689,0,0,0,0,0,0,0,0,0
